Age,Fare,Sex,sibsp,Parch,Pclass,2urvived
22,7.25,0,1,0,3,0
38,71.2833,1,1,0,1,1
26,7.925,1,0,0,3,1
35,53.1,1,1,0,1,1
35,8.05,0,0,0,3,0
28,8.4583,0,0,0,3,0
54,51.8625,0,0,0,1,0
2,21.075,0,3,1,3,0
27,11.1333,1,0,2,3,1
14,30.0708,1,1,0,2,1
4,16.7,1,1,1,3,1
58,26.55,1,0,0,1,1
20,8.05,0,0,0,3,0
39,31.275,0,1,5,3,0
14,7.8542,1,0,0,3,0
55,16,1,0,0,2,1
2,29.125,0,4,1,3,0
28,13,0,0,0,2,1
31,18,1,1,0,3,0
28,7.225,1,0,0,3,1
35,26,0,0,0,2,0
34,13,0,0,0,2,1
15,8.0292,1,0,0,3,1
28,35.5,0,0,0,1,1
8,21.075,1,3,1,3,0
38,31.3875,1,1,5,3,1
28,7.225,0,0,0,3,0
19,263,0,3,2,1,0
28,7.8792,1,0,0,3,1
28,7.8958,0,0,0,3,0
40,27.7208,0,0,0,1,0
28,146.5208,1,1,0,1,1
28,7.75,1,0,0,3,1
66,10.5,0,0,0,2,0
28,82.1708,0,1,0,1,0
42,52,0,1,0,1,0
28,7.2292,0,0,0,3,1
21,8.05,0,0,0,3,0
18,18,1,2,0,3,0
14,11.2417,1,1,0,3,1
40,9.475,1,1,0,3,0
27,21,1,1,0,2,0
28,7.8958,0,0,0,3,0
3,41.5792,1,1,2,2,1
19,7.8792,1,0,0,3,1
28,8.05,0,0,0,3,0
28,15.5,0,1,0,3,0
28,7.75,1,0,0,3,1
28,21.6792,0,2,0,3,0
18,17.8,1,1,0,3,0
7,39.6875,0,4,1,3,0
21,7.8,0,0,0,3,0
49,76.7292,1,1,0,1,1
29,26,1,1,0,2,1
65,61.9792,0,0,1,1,0
28,35.5,0,0,0,1,1
21,10.5,1,0,0,2,1
28.5,7.2292,0,0,0,3,0
5,27.75,1,1,2,2,1
11,46.9,0,5,2,3,0
22,7.2292,0,0,0,3,0
38,80,1,0,0,1,1
45,83.475,0,1,0,1,0
4,27.9,0,3,2,3,0
28,27.7208,0,0,0,1,0
28,15.2458,0,1,1,3,1
29,10.5,1,0,0,2,1
19,8.1583,0,0,0,3,0
17,7.925,1,4,2,3,1
26,8.6625,0,2,0,3,0
32,10.5,0,0,0,2,0
16,46.9,1,5,2,3,0
21,73.5,0,0,0,2,0
26,14.4542,0,1,0,3,0
32,56.4958,0,0,0,3,1
25,7.65,0,0,0,3,0
28,7.8958,0,0,0,3,0
28,8.05,0,0,0,3,0
0.83,29,0,0,2,2,1
30,12.475,1,0,0,3,1
22,9,0,0,0,3,0
29,9.5,0,0,0,3,1
28,7.7875,1,0,0,3,1
28,47.1,0,0,0,1,0
17,10.5,1,0,0,2,1
33,15.85,1,3,0,3,1
16,34.375,0,1,3,3,0
28,8.05,0,0,0,3,0
23,263,1,3,2,1,1
24,8.05,0,0,0,3,0
29,8.05,0,0,0,3,0
20,7.8542,0,0,0,3,0
46,61.175,0,1,0,1,0
26,20.575,0,1,2,3,0
59,7.25,0,0,0,3,0
28,8.05,0,0,0,3,0
71,34.6542,0,0,0,1,0
23,63.3583,0,0,1,1,1
34,23,1,0,1,2,1
34,26,0,1,0,2,0
28,7.8958,1,0,0,3,0
28,7.8958,0,0,0,3,0
21,77.2875,0,0,1,1,0
33,8.6542,0,0,0,3,0
37,7.925,0,2,0,3,0
28,7.8958,0,0,0,3,0
21,7.65,1,0,0,3,1
28,7.775,0,0,0,3,1
38,7.8958,0,0,0,3,0
28,24.15,1,1,0,3,1
47,52,0,0,0,1,0
14.5,14.4542,1,1,0,3,0
22,8.05,0,0,0,3,0
20,9.825,1,1,0,3,0
17,14.4583,1,0,0,3,0
21,7.925,0,0,0,3,0
70.5,7.75,0,0,0,3,0
29,21,0,1,0,2,0
24,247.5208,0,0,1,1,0
2,31.275,1,4,2,3,0
21,73.5,0,2,0,2,0
28,8.05,0,0,0,3,0
32.5,30.0708,0,1,0,2,0
32.5,13,1,0,0,2,1
54,77.2875,0,0,1,1,0
12,11.2417,0,1,0,3,1
28,7.75,0,0,0,3,0
24,7.1417,0,0,0,3,1
28,22.3583,1,1,1,3,1
45,6.975,0,0,0,3,0
33,7.8958,0,0,0,3,0
20,7.05,0,0,0,3,0
47,14.5,1,1,0,3,0
29,26,1,1,0,2,1
25,13,0,0,0,2,0
23,15.0458,0,0,0,2,0
19,26.2833,1,0,2,1,1
37,53.1,0,1,0,1,0
16,9.2167,0,0,0,3,0
24,79.2,0,0,0,1,0
28,15.2458,1,0,2,3,0
22,7.75,1,0,0,3,1
24,15.85,1,1,0,3,1
19,6.75,0,0,0,3,0
18,11.5,0,0,0,2,0
19,36.75,0,1,1,2,0
27,7.7958,0,0,0,3,1
9,34.375,1,2,2,3,0
36.5,26,0,0,2,2,0
42,13,0,0,0,2,0
51,12.525,0,0,0,2,0
22,66.6,1,1,0,1,1
55.5,8.05,0,0,0,3,0
40.5,14.5,0,0,2,3,0
28,7.3125,0,0,0,3,0
51,61.3792,0,0,1,1,0
16,7.7333,1,0,0,3,1
30,8.05,0,0,0,3,0
28,8.6625,0,0,0,3,0
28,69.55,0,8,2,3,0
44,16.1,0,0,1,3,0
40,15.75,1,0,0,2,1
26,7.775,0,0,0,3,0
17,8.6625,0,0,0,3,0
1,39.6875,0,4,1,3,0
9,20.525,0,0,2,3,1
28,55,1,0,1,1,1
45,27.9,1,1,4,3,0
28,25.925,0,0,0,1,0
